"year","geo","dguid","employee","value"
2003,"Canada","1","total",690.98
2003,"Canada","1","salary",916.09
2003,"Canada","1","wage",531.73
2003,"Newfoundland and Labrador","10","total",639.77
2003,"Newfoundland and Labrador","10","salary",823.79
2003,"Newfoundland and Labrador","10","wage",505.41
2003,"Prince Edward Island","11","total",569.9
2003,"Prince Edward Island","11","salary",806.28
2003,"Prince Edward Island","11","wage",414.56
2003,"Nova Scotia","12","total",610.81
2003,"Nova Scotia","12","salary",810.54
2003,"Nova Scotia","12","wage",462.06
2003,"New Brunswick","13","total",618.48
2003,"New Brunswick","13","salary",847.57
2003,"New Brunswick","13","wage",478.2
2003,"Quebec","24","total",657.02
2003,"Quebec","24","salary",870.53
2003,"Quebec","24","wage",505.45
2003,"Ontario","35","total",728.51
2003,"Ontario","35","salary",958.17
2003,"Ontario","35","wage",562.05
2003,"Manitoba","46","total",620.23
2003,"Manitoba","46","salary",828.66
2003,"Manitoba","46","wage",470.93
2003,"Saskatchewan","47","total",635.69
2003,"Saskatchewan","47","salary",846.36
2003,"Saskatchewan","47","wage",479.13
2003,"Alberta","48","total",715.69
2003,"Alberta","48","salary",951.73
2003,"Alberta","48","wage",559.7
2003,"British Columbia","59","total",685.49
2003,"British Columbia","59","salary",927.02
2003,"British Columbia","59","wage",520.85
2003,"Yukon","60","total",749.13
2003,"Yukon","60","salary",984.16
2003,"Yukon","60","wage",543.98
2003,"Northwest Territories","61","total",956.02
2003,"Northwest Territories","61","salary",1208.12
2003,"Northwest Territories","61","wage",766.17
2003,"Nunavut","62","total",911.89
2003,"Nunavut","62","salary",1108.3
2003,"Nunavut","62","wage",645.29
2004,"Canada","1","total",709.14
2004,"Canada","1","salary",947.06
2004,"Canada","1","wage",546.53
2004,"Newfoundland and Labrador","10","total",655.7
2004,"Newfoundland and Labrador","10","salary",866.54
2004,"Newfoundland and Labrador","10","wage",520.07
2004,"Prince Edward Island","11","total",584.71
2004,"Prince Edward Island","11","salary",826.7
2004,"Prince Edward Island","11","wage",432.33
2004,"Nova Scotia","12","total",625.4
2004,"Nova Scotia","12","salary",842.22
2004,"Nova Scotia","12","wage",473.21
2004,"New Brunswick","13","total",627.27
2004,"New Brunswick","13","salary",867.85
2004,"New Brunswick","13","wage",480.98
2004,"Quebec","24","total",673.31
2004,"Quebec","24","salary",898.55
2004,"Quebec","24","wage",520.03
2004,"Ontario","35","total",748.82
2004,"Ontario","35","salary",988.15
2004,"Ontario","35","wage",581.56
2004,"Manitoba","46","total",637.67
2004,"Manitoba","46","salary",854.02
2004,"Manitoba","46","wage",486.84
2004,"Saskatchewan","47","total",654.82
2004,"Saskatchewan","47","salary",883.17
2004,"Saskatchewan","47","wage",490.03
2004,"Alberta","48","total",739.63
2004,"Alberta","48","salary",1000.65
2004,"Alberta","48","wage",567.8
2004,"British Columbia","59","total",697.03
2004,"British Columbia","59","salary",948.66
2004,"British Columbia","59","wage",531.38
2004,"Yukon","60","total",772.68
2004,"Yukon","60","salary",1026.43
2004,"Yukon","60","wage",559.28
2004,"Northwest Territories","61","total",987.93
2004,"Northwest Territories","61","salary",1263.97
2004,"Northwest Territories","61","wage",781.36
2004,"Nunavut","62","total",935.96
2004,"Nunavut","62","salary",1167.92
2004,"Nunavut","62","wage",635.62
2005,"Canada","1","total",736.88
2005,"Canada","1","salary",978.89
2005,"Canada","1","wage",563.47
2005,"Newfoundland and Labrador","10","total",682.43
2005,"Newfoundland and Labrador","10","salary",885.36
2005,"Newfoundland and Labrador","10","wage",541.88
2005,"Prince Edward Island","11","total",602.64
2005,"Prince Edward Island","11","salary",842.36
2005,"Prince Edward Island","11","wage",445.54
2005,"Nova Scotia","12","total",657.01
2005,"Nova Scotia","12","salary",878.36
2005,"Nova Scotia","12","wage",493.02
2005,"New Brunswick","13","total",654.06
2005,"New Brunswick","13","salary",890.64
2005,"New Brunswick","13","wage",500.57
2005,"Quebec","24","total",695.07
2005,"Quebec","24","salary",921.48
2005,"Quebec","24","wage",532.89
2005,"Ontario","35","total",776.17
2005,"Ontario","35","salary",1025.28
2005,"Ontario","35","wage",591.41
2005,"Manitoba","46","total",666.65
2005,"Manitoba","46","salary",886.01
2005,"Manitoba","46","wage",508.03
2005,"Saskatchewan","47","total",682.37
2005,"Saskatchewan","47","salary",908.36
2005,"Saskatchewan","47","wage",514.75
2005,"Alberta","48","total",781.88
2005,"Alberta","48","salary",1042.4
2005,"Alberta","48","wage",608.7
2005,"British Columbia","59","total",722.38
2005,"British Columbia","59","salary",973.61
2005,"British Columbia","59","wage",549.69
2005,"Yukon","60","total",807.89
2005,"Yukon","60","salary",1070.17
2005,"Yukon","60","wage",581
2005,"Northwest Territories","61","total",1012.12
2005,"Northwest Territories","61","salary",1286.42
2005,"Northwest Territories","61","wage",796.77
2005,"Nunavut","62","total",975.39
2005,"Nunavut","62","salary",1204.78
2005,"Nunavut","62","wage",642.75
2006,"Canada","1","total",754.95
2006,"Canada","1","salary",999.52
2006,"Canada","1","wage",577.65
2006,"Newfoundland and Labrador","10","total",706.17
2006,"Newfoundland and Labrador","10","salary",917.31
2006,"Newfoundland and Labrador","10","wage",557.46
2006,"Prince Edward Island","11","total",622.49
2006,"Prince Edward Island","11","salary",870.37
2006,"Prince Edward Island","11","wage",455.62
2006,"Nova Scotia","12","total",673.1
2006,"Nova Scotia","12","salary",896.38
2006,"Nova Scotia","12","wage",506.83
2006,"New Brunswick","13","total",673.14
2006,"New Brunswick","13","salary",908.63
2006,"New Brunswick","13","wage",515.96
2006,"Quebec","24","total",707.62
2006,"Quebec","24","salary",938.74
2006,"Quebec","24","wage",538.94
2006,"Ontario","35","total",788.61
2006,"Ontario","35","salary",1040.92
2006,"Ontario","35","wage",599.73
2006,"Manitoba","46","total",686.21
2006,"Manitoba","46","salary",908.53
2006,"Manitoba","46","wage",524.71
2006,"Saskatchewan","47","total",708.48
2006,"Saskatchewan","47","salary",936.99
2006,"Saskatchewan","47","wage",540.55
2006,"Alberta","48","total",820.93
2006,"Alberta","48","salary",1079.07
2006,"Alberta","48","wage",646.92
2006,"British Columbia","59","total",743.4
2006,"British Columbia","59","salary",997.95
2006,"British Columbia","59","wage",567.08
2006,"Yukon","60","total",835.58
2006,"Yukon","60","salary",1103.79
2006,"Yukon","60","wage",607.64
2006,"Northwest Territories","61","total",1022.07
2006,"Northwest Territories","61","salary",1310.29
2006,"Northwest Territories","61","wage",795.6
2006,"Nunavut","62","total",1008.28
2006,"Nunavut","62","salary",1236.71
2006,"Nunavut","62","wage",702.81
2007,"Canada","1","total",787.37
2007,"Canada","1","salary",1045.79
2007,"Canada","1","wage",592.71
2007,"Newfoundland and Labrador","10","total",735.44
2007,"Newfoundland and Labrador","10","salary",969.24
2007,"Newfoundland and Labrador","10","wage",569.56
2007,"Prince Edward Island","11","total",643.94
2007,"Prince Edward Island","11","salary",901.64
2007,"Prince Edward Island","11","wage",463.35
2007,"Nova Scotia","12","total",694.28
2007,"Nova Scotia","12","salary",929.21
2007,"Nova Scotia","12","wage",511.63
2007,"New Brunswick","13","total",707.08
2007,"New Brunswick","13","salary",955.04
2007,"New Brunswick","13","wage",535.71
2007,"Quebec","24","total",737.08
2007,"Quebec","24","salary",982.75
2007,"Quebec","24","wage",553.83
2007,"Ontario","35","total",818.96
2007,"Ontario","35","salary",1082.75
2007,"Ontario","35","wage",611.16
2007,"Manitoba","46","total",725.83
2007,"Manitoba","46","salary",968.58
2007,"Manitoba","46","wage",541.63
2007,"Saskatchewan","47","total",748.58
2007,"Saskatchewan","47","salary",994.09
2007,"Saskatchewan","47","wage",563.05
2007,"Alberta","48","total",869.37
2007,"Alberta","48","salary",1143.5
2007,"Alberta","48","wage",677.44
2007,"British Columbia","59","total",768.86
2007,"British Columbia","59","salary",1038.33
2007,"British Columbia","59","wage",576.83
2007,"Yukon","60","total",869.09
2007,"Yukon","60","salary",1168.16
2007,"Yukon","60","wage",616.36
2007,"Northwest Territories","61","total",1078.7
2007,"Northwest Territories","61","salary",1370.46
2007,"Northwest Territories","61","wage",833.68
2007,"Nunavut","62","total",1071.9
2007,"Nunavut","62","salary",1294.13
2007,"Nunavut","62","wage",753.58
2008,"Canada","1","total",809.94
2008,"Canada","1","salary",1082.81
2008,"Canada","1","wage",612.28
2008,"Newfoundland and Labrador","10","total",765.89
2008,"Newfoundland and Labrador","10","salary",1011.74
2008,"Newfoundland and Labrador","10","wage",591.83
2008,"Prince Edward Island","11","total",659.25
2008,"Prince Edward Island","11","salary",926.12
2008,"Prince Edward Island","11","wage",478.57
2008,"Nova Scotia","12","total",712.35
2008,"Nova Scotia","12","salary",958.85
2008,"Nova Scotia","12","wage",534.35
2008,"New Brunswick","13","total",729.14
2008,"New Brunswick","13","salary",988.34
2008,"New Brunswick","13","wage",557.09
2008,"Quebec","24","total",750.74
2008,"Quebec","24","salary",1001.37
2008,"Quebec","24","wage",569.68
2008,"Ontario","35","total",838.02
2008,"Ontario","35","salary",1118.18
2008,"Ontario","35","wage",624.74
2008,"Manitoba","46","total",746.16
2008,"Manitoba","46","salary",995.09
2008,"Manitoba","46","wage",560.94
2008,"Saskatchewan","47","total",784.2
2008,"Saskatchewan","47","salary",1043.51
2008,"Saskatchewan","47","wage",593.96
2008,"Alberta","48","total",920.86
2008,"Alberta","48","salary",1223.54
2008,"Alberta","48","wage",718.84
2008,"British Columbia","59","total",787.88
2008,"British Columbia","59","salary",1074.87
2008,"British Columbia","59","wage",595.74
2008,"Yukon","60","total",875.2
2008,"Yukon","60","salary",1195.53
2008,"Yukon","60","wage",611.44
2008,"Northwest Territories","61","total",1127.48
2008,"Northwest Territories","61","salary",1435.37
2008,"Northwest Territories","61","wage",865.59
2008,"Nunavut","62","total",1069.24
2008,"Nunavut","62","salary",1306.35
2008,"Nunavut","62","wage",742.54
2009,"Canada","1","total",822.36
2009,"Canada","1","salary",1100.23
2009,"Canada","1","wage",614.64
2009,"Newfoundland and Labrador","10","total",800.87
2009,"Newfoundland and Labrador","10","salary",1047.28
2009,"Newfoundland and Labrador","10","wage",620.52
2009,"Prince Edward Island","11","total",689.84
2009,"Prince Edward Island","11","salary",962.24
2009,"Prince Edward Island","11","wage",517.54
2009,"Nova Scotia","12","total",729.33
2009,"Nova Scotia","12","salary",967.54
2009,"Nova Scotia","12","wage",550.7
2009,"New Brunswick","13","total",748.99
2009,"New Brunswick","13","salary",1001.83
2009,"New Brunswick","13","wage",583.52
2009,"Quebec","24","total",758.87
2009,"Quebec","24","salary",1010.59
2009,"Quebec","24","wage",598.54
2009,"Ontario","35","total",848.62
2009,"Ontario","35","salary",1139.9
2009,"Ontario","35","wage",611.18
2009,"Manitoba","46","total",766.04
2009,"Manitoba","46","salary",1019.69
2009,"Manitoba","46","wage",571.21
2009,"Saskatchewan","47","total",803.2
2009,"Saskatchewan","47","salary",1049.27
2009,"Saskatchewan","47","wage",611.7
2009,"Alberta","48","total",946.9
2009,"Alberta","48","salary",1227.35
2009,"Alberta","48","wage",718.35
2009,"British Columbia","59","total",795.34
2009,"British Columbia","59","salary",1078.68
2009,"British Columbia","59","wage",595.6
2009,"Yukon","60","total",908.56
2009,"Yukon","60","salary",1192.82
2009,"Yukon","60","wage",659.32
2009,"Northwest Territories","61","total",1176.43
2009,"Northwest Territories","61","salary",1467.42
2009,"Northwest Territories","61","wage",894.51
2009,"Nunavut","62","total",1055.78
2009,"Nunavut","62","salary",1329.34
2009,"Nunavut","62","wage",763.77
2010,"Canada","1","total",852.36
2010,"Canada","1","salary",1147.72
2010,"Canada","1","wage",634.11
2010,"Newfoundland and Labrador","10","total",836.66
2010,"Newfoundland and Labrador","10","salary",1107.22
2010,"Newfoundland and Labrador","10","wage",649.12
2010,"Prince Edward Island","11","total",706.38
2010,"Prince Edward Island","11","salary",997.87
2010,"Prince Edward Island","11","wage",526.67
2010,"Nova Scotia","12","total",758.14
2010,"Nova Scotia","12","salary",1019.93
2010,"Nova Scotia","12","wage",572.47
2010,"New Brunswick","13","total",760.28
2010,"New Brunswick","13","salary",1032.03
2010,"New Brunswick","13","wage",593.94
2010,"Quebec","24","total",784.32
2010,"Quebec","24","salary",1057.14
2010,"Quebec","24","wage",610.92
2010,"Ontario","35","total",881.35
2010,"Ontario","35","salary",1189.33
2010,"Ontario","35","wage",633.21
2010,"Manitoba","46","total",782.07
2010,"Manitoba","46","salary",1044.64
2010,"Manitoba","46","wage",578.32
2010,"Saskatchewan","47","total",844.34
2010,"Saskatchewan","47","salary",1106
2010,"Saskatchewan","47","wage",646.65
2010,"Alberta","48","total",989.49
2010,"Alberta","48","salary",1288.86
2010,"Alberta","48","wage",752.26
2010,"British Columbia","59","total",818.14
2010,"British Columbia","59","salary",1112.98
2010,"British Columbia","59","wage",607.84
2010,"Yukon","60","total",937.04
2010,"Yukon","60","salary",1218.76
2010,"Yukon","60","wage",702.28
2010,"Northwest Territories","61","total",1223.08
2010,"Northwest Territories","61","salary",1548.26
2010,"Northwest Territories","61","wage",879.46
2010,"Nunavut","62","total",1053.87
2010,"Nunavut","62","salary",1303.05
2010,"Nunavut","62","wage",750.52
2011,"Canada","1","total",873.55
2011,"Canada","1","salary",1167.33
2011,"Canada","1","wage",661.95
2011,"Newfoundland and Labrador","10","total",879.01
2011,"Newfoundland and Labrador","10","salary",1154.35
2011,"Newfoundland and Labrador","10","wage",682.64
2011,"Prince Edward Island","11","total",719.33
2011,"Prince Edward Island","11","salary",988.49
2011,"Prince Edward Island","11","wage",542.98
2011,"Nova Scotia","12","total",765.66
2011,"Nova Scotia","12","salary",1034.13
2011,"Nova Scotia","12","wage",587.07
2011,"New Brunswick","13","total",787.14
2011,"New Brunswick","13","salary",1067.03
2011,"New Brunswick","13","wage",612.18
2011,"Quebec","24","total",803.86
2011,"Quebec","24","salary",1077.41
2011,"Quebec","24","wage",633.66
2011,"Ontario","35","total",893.36
2011,"Ontario","35","salary",1199.6
2011,"Ontario","35","wage",659.11
2011,"Manitoba","46","total",802.67
2011,"Manitoba","46","salary",1060.98
2011,"Manitoba","46","wage",605.55
2011,"Saskatchewan","47","total",876.24
2011,"Saskatchewan","47","salary",1138.4
2011,"Saskatchewan","47","wage",677.18
2011,"Alberta","48","total",1032.9
2011,"Alberta","48","salary",1322.59
2011,"Alberta","48","wage",796.73
2011,"British Columbia","59","total",841.1
2011,"British Columbia","59","salary",1134.66
2011,"British Columbia","59","wage",636.07
2011,"Yukon","60","total",977.71
2011,"Yukon","60","salary",1267.31
2011,"Yukon","60","wage",740.05
2011,"Northwest Territories","61","total",1274.56
2011,"Northwest Territories","61","salary",1609.22
2011,"Northwest Territories","61","wage",921.45
2011,"Nunavut","62","total",1085.79
2011,"Nunavut","62","salary",1339.34
2011,"Nunavut","62","wage",834.89
2012,"Canada","1","total",895.36
2012,"Canada","1","salary",1196.77
2012,"Canada","1","wage",681.28
2012,"Newfoundland and Labrador","10","total",926.12
2012,"Newfoundland and Labrador","10","salary",1209.7
2012,"Newfoundland and Labrador","10","wage",730.42
2012,"Prince Edward Island","11","total",738.35
2012,"Prince Edward Island","11","salary",1006.96
2012,"Prince Edward Island","11","wage",562.17
2012,"Nova Scotia","12","total",788.39
2012,"Nova Scotia","12","salary",1055.62
2012,"Nova Scotia","12","wage",609.16
2012,"New Brunswick","13","total",806.5
2012,"New Brunswick","13","salary",1091.73
2012,"New Brunswick","13","wage",632.99
2012,"Quebec","24","total",822.91
2012,"Quebec","24","salary",1104.42
2012,"Quebec","24","wage",648.77
2012,"Ontario","35","total",905.89
2012,"Ontario","35","salary",1221.4
2012,"Ontario","35","wage",670.6
2012,"Manitoba","46","total",825.13
2012,"Manitoba","46","salary",1087.06
2012,"Manitoba","46","wage",628.96
2012,"Saskatchewan","47","total",918.93
2012,"Saskatchewan","47","salary",1202.61
2012,"Saskatchewan","47","wage",717.27
2012,"Alberta","48","total",1068.47
2012,"Alberta","48","salary",1365.47
2012,"Alberta","48","wage",827.65
2012,"British Columbia","59","total",866.24
2012,"British Columbia","59","salary",1162.26
2012,"British Columbia","59","wage",659.54
2012,"Yukon","60","total",1003.49
2012,"Yukon","60","salary",1342.6
2012,"Yukon","60","wage",751.45
2012,"Northwest Territories","61","total",1324.54
2012,"Northwest Territories","61","salary",1696.4
2012,"Northwest Territories","61","wage",938.73
2012,"Nunavut","62","total",1129.69
2012,"Nunavut","62","salary",1453.37
2012,"Nunavut","62","wage",934.05
2013,"Canada","1","total",911.28
2013,"Canada","1","salary",1220.34
2013,"Canada","1","wage",695.29
2013,"Newfoundland and Labrador","10","total",951.04
2013,"Newfoundland and Labrador","10","salary",1232.9
2013,"Newfoundland and Labrador","10","wage",762.01
2013,"Prince Edward Island","11","total",752.29
2013,"Prince Edward Island","11","salary",1058.14
2013,"Prince Edward Island","11","wage",565.38
2013,"Nova Scotia","12","total",797.3
2013,"Nova Scotia","12","salary",1075.94
2013,"Nova Scotia","12","wage",607.62
2013,"New Brunswick","13","total",804.37
2013,"New Brunswick","13","salary",1104.02
2013,"New Brunswick","13","wage",630.51
2013,"Quebec","24","total",832.71
2013,"Quebec","24","salary",1121.68
2013,"Quebec","24","wage",659.47
2013,"Ontario","35","total",919.86
2013,"Ontario","35","salary",1241.68
2013,"Ontario","35","wage",677.26
2013,"Manitoba","46","total",830.63
2013,"Manitoba","46","salary",1128.25
2013,"Manitoba","46","wage",626.85
2013,"Saskatchewan","47","total",946.04
2013,"Saskatchewan","47","salary",1222.89
2013,"Saskatchewan","47","wage",749.77
2013,"Alberta","48","total",1106.06
2013,"Alberta","48","salary",1408.23
2013,"Alberta","48","wage",869.4
2013,"British Columbia","59","total",875.53
2013,"British Columbia","59","salary",1175.58
2013,"British Columbia","59","wage",673.25
2013,"Yukon","60","total",1014.44
2013,"Yukon","60","salary",1371.18
2013,"Yukon","60","wage",740.69
2013,"Northwest Territories","61","total",1346.03
2013,"Northwest Territories","61","salary",1749.29
2013,"Northwest Territories","61","wage",940.54
2013,"Nunavut","62","total",1182.35
2013,"Nunavut","62","salary",1560.03
2013,"Nunavut","62","wage",880.37
2014,"Canada","1","total",935.43
2014,"Canada","1","salary",1265.2
2014,"Canada","1","wage",708.24
2014,"Newfoundland and Labrador","10","total",992.64
2014,"Newfoundland and Labrador","10","salary",1296.08
2014,"Newfoundland and Labrador","10","wage",778.24
2014,"Prince Edward Island","11","total",773.62
2014,"Prince Edward Island","11","salary",1069.23
2014,"Prince Edward Island","11","wage",573.25
2014,"Nova Scotia","12","total",819.7
2014,"Nova Scotia","12","salary",1102.41
2014,"Nova Scotia","12","wage",630.51
2014,"New Brunswick","13","total",831.76
2014,"New Brunswick","13","salary",1162.49
2014,"New Brunswick","13","wage",645.85
2014,"Quebec","24","total",849.69
2014,"Quebec","24","salary",1158.2
2014,"Quebec","24","wage",676.83
2014,"Ontario","35","total",938.31
2014,"Ontario","35","salary",1275.21
2014,"Ontario","35","wage",686.08
2014,"Manitoba","46","total",865.77
2014,"Manitoba","46","salary",1157.14
2014,"Manitoba","46","wage",659.49
2014,"Saskatchewan","47","total",974.98
2014,"Saskatchewan","47","salary",1279.93
2014,"Saskatchewan","47","wage",755.77
2014,"Alberta","48","total",1147.82
2014,"Alberta","48","salary",1488.85
2014,"Alberta","48","wage",878.36
2014,"British Columbia","59","total",896.5
2014,"British Columbia","59","salary",1216.43
2014,"British Columbia","59","wage",684.06
2014,"Yukon","60","total",1042.76
2014,"Yukon","60","salary",1418.69
2014,"Yukon","60","wage",769.28
2014,"Northwest Territories","61","total",1403.06
2014,"Northwest Territories","61","salary",1747.77
2014,"Northwest Territories","61","wage",1032.61
2014,"Nunavut","62","total",1242.68
2014,"Nunavut","62","salary",1613.1
2014,"Nunavut","62","wage",914
2015,"Canada","1","total",951.97
2015,"Canada","1","salary",1282.69
2015,"Canada","1","wage",719.4
2015,"Newfoundland and Labrador","10","total",1018.97
2015,"Newfoundland and Labrador","10","salary",1305.56
2015,"Newfoundland and Labrador","10","wage",800.83
2015,"Prince Edward Island","11","total",800.02
2015,"Prince Edward Island","11","salary",1103.27
2015,"Prince Edward Island","11","wage",595.78
2015,"Nova Scotia","12","total",834.78
2015,"Nova Scotia","12","salary",1110.71
2015,"Nova Scotia","12","wage",640.87
2015,"New Brunswick","13","total",854.58
2015,"New Brunswick","13","salary",1185.08
2015,"New Brunswick","13","wage",658.03
2015,"Quebec","24","total",867.44
2015,"Quebec","24","salary",1180.54
2015,"Quebec","24","wage",686.68
2015,"Ontario","35","total",963.15
2015,"Ontario","35","salary",1292.66
2015,"Ontario","35","wage",705.39
2015,"Manitoba","46","total",882.21
2015,"Manitoba","46","salary",1184.23
2015,"Manitoba","46","wage",668.56
2015,"Saskatchewan","47","total",980.18
2015,"Saskatchewan","47","salary",1281.56
2015,"Saskatchewan","47","wage",765.63
2015,"Alberta","48","total",1143.44
2015,"Alberta","48","salary",1498.81
2015,"Alberta","48","wage",867.68
2015,"British Columbia","59","total",910.55
2015,"British Columbia","59","salary",1243.8
2015,"British Columbia","59","wage",696.11
2015,"Yukon","60","total",1053.41
2015,"Yukon","60","salary",1452.53
2015,"Yukon","60","wage",750.11
2015,"Northwest Territories","61","total",1426.06
2015,"Northwest Territories","61","salary",1794.97
2015,"Northwest Territories","61","wage",1035.21
2015,"Nunavut","62","total",1260.42
2015,"Nunavut","62","salary",1671.5
2015,"Nunavut","62","wage",927.18
2016,"Canada","1","total",956.61
2016,"Canada","1","salary",1301.43
2016,"Canada","1","wage",721.56
2016,"Newfoundland and Labrador","10","total",1015.57
2016,"Newfoundland and Labrador","10","salary",1308.86
2016,"Newfoundland and Labrador","10","wage",815.14
2016,"Prince Edward Island","11","total",817.67
2016,"Prince Edward Island","11","salary",1121.4
2016,"Prince Edward Island","11","wage",613.5
2016,"Nova Scotia","12","total",847.69
2016,"Nova Scotia","12","salary",1141.85
2016,"Nova Scotia","12","wage",653.97
2016,"New Brunswick","13","total",874.28
2016,"New Brunswick","13","salary",1202.76
2016,"New Brunswick","13","wage",678.18
2016,"Quebec","24","total",878.31
2016,"Quebec","24","salary",1199.71
2016,"Quebec","24","wage",695.79
2016,"Ontario","35","total",974.12
2016,"Ontario","35","salary",1321.45
2016,"Ontario","35","wage",716.68
2016,"Manitoba","46","total",891.81
2016,"Manitoba","46","salary",1195.52
2016,"Manitoba","46","wage",680.82
2016,"Saskatchewan","47","total",988
2016,"Saskatchewan","47","salary",1320.35
2016,"Saskatchewan","47","wage",756.57
2016,"Alberta","48","total",1116.02
2016,"Alberta","48","salary",1505.59
2016,"Alberta","48","wage",827.82
2016,"British Columbia","59","total",920.42
2016,"British Columbia","59","salary",1250.21
2016,"British Columbia","59","wage",699.32
2016,"Yukon","60","total",1057.1
2016,"Yukon","60","salary",1462.36
2016,"Yukon","60","wage",777.31
2016,"Northwest Territories","61","total",1407.37
2016,"Northwest Territories","61","salary",1838.18
2016,"Northwest Territories","61","wage",992.71
2016,"Nunavut","62","total",1282.09
2016,"Nunavut","62","salary",1738.09
2016,"Nunavut","62","wage",915.22
2017,"Canada","1","total",975.97
2017,"Canada","1","salary",1328.41
2017,"Canada","1","wage",731.2
2017,"Newfoundland and Labrador","10","total",1033.45
2017,"Newfoundland and Labrador","10","salary",1325.5
2017,"Newfoundland and Labrador","10","wage",816.87
2017,"Prince Edward Island","11","total",820.95
2017,"Prince Edward Island","11","salary",1127.33
2017,"Prince Edward Island","11","wage",627.55
2017,"Nova Scotia","12","total",861.14
2017,"Nova Scotia","12","salary",1165.32
2017,"Nova Scotia","12","wage",660.87
2017,"New Brunswick","13","total",886.33
2017,"New Brunswick","13","salary",1220.71
2017,"New Brunswick","13","wage",692.58
2017,"Quebec","24","total",902.76
2017,"Quebec","24","salary",1231.53
2017,"Quebec","24","wage",716.83
2017,"Ontario","35","total",992.74
2017,"Ontario","35","salary",1348.38
2017,"Ontario","35","wage",719.52
2017,"Manitoba","46","total",914.49
2017,"Manitoba","46","salary",1229.04
2017,"Manitoba","46","wage",697.46
2017,"Saskatchewan","47","total",1009.5
2017,"Saskatchewan","47","salary",1352.57
2017,"Saskatchewan","47","wage",770.72
2017,"Alberta","48","total",1127.77
2017,"Alberta","48","salary",1520.1
2017,"Alberta","48","wage",832.41
2017,"British Columbia","59","total",943.88
2017,"British Columbia","59","salary",1283.11
2017,"British Columbia","59","wage",711.92
2017,"Yukon","60","total",1097.09
2017,"Yukon","60","salary",1515.84
2017,"Yukon","60","wage",804.46
2017,"Northwest Territories","61","total",1402.43
2017,"Northwest Territories","61","salary",1832.92
