"ref_date","geo","dguid","building_type","total"
2020,"Rivière-Beaudette, Municipalité, Quebec","2471005","Single",0
2020,"Rivière-Rouge, Ville, Quebec","2479037","Apartment",12
2020,"Rivière-Rouge, Ville, Quebec","2479037","Single",18
2020,"Rivière-du-Loup, Ville, Quebec","2412072","Apartment",41
2020,"Rivière-du-Loup, Ville, Quebec","2412072","Duplex",8
2020,"Rivière-du-Loup, Ville, Quebec","2412072","Single",16
2020,"Robert's Arm, Town, Newfoundland and Labrador","1008060","Single",1
2020,"Roberval, Ville, Quebec","2491025","Apartment",11
2020,"Roberval, Ville, Quebec","2491025","Cottage",1
2020,"Roberval, Ville, Quebec","2491025","Mobile",2
2020,"Roberval, Ville, Quebec","2491025","Single",14
2020,"Rockwood, Rural municipality, Manitoba","4614036","Apartment",1
2020,"Rockwood, Rural municipality, Manitoba","4614036","Mobile",3
2020,"Rockwood, Rural municipality, Manitoba","4614036","Single",14
2020,"Rocky Harbour, Town, Newfoundland and Labrador","1009013","Single",3
2020,"Rocky Mountain House, Town, Alberta","4809015","Duplex",2
2020,"Rocky Mountain House, Town, Alberta","4809015","Row",11
2020,"Rocky Mountain House, Town, Alberta","4809015","Single",2
2020,"Rocky View County, Municipal district, Alberta","4806014","Apartment",4
2020,"Rocky View County, Municipal district, Alberta","4806014","Cottage",8
2020,"Rocky View County, Municipal district, Alberta","4806014","Duplex",18
2020,"Rocky View County, Municipal district, Alberta","4806014","Mobile",1
2020,"Rocky View County, Municipal district, Alberta","4806014","Row",12
2020,"Rocky View County, Municipal district, Alberta","4806014","Single",93
2020,"Rogersville, Parish, New Brunswick","1309016","Single",2
2020,"Rogersville, Village, New Brunswick","1309017","Single",2
2020,"Roland, Rural municipality, Manitoba","4603062","Apartment",0
2020,"Roland, Rural municipality, Manitoba","4603062","Single",0
2020,"Rosedale, Rural municipality, Manitoba","4615078","Cottage",1
2020,"Rosedale, Rural municipality, Manitoba","4615078","Single",4
2020,"Rosemary, Village, Alberta","4802038","Single",0
2020,"Rosemère, Ville, Quebec","2473020","Apartment",53
2020,"Rosemère, Ville, Quebec","2473020","Row",2
2020,"Rosemère, Ville, Quebec","2473020","Single",17
2020,"Rosetown, Town, Saskatchewan","4712006","Single",4
2020,"Rosser, Rural municipality, Manitoba","4614015","Single",1
2020,"Rossland, City, British Columbia","5905023","Apartment",12
2020,"Rossland, City, British Columbia","5905023","Single",14
2020,"Rosthern No. 403, Rural municipality, Saskatchewan","4715031","Single",15
2020,"Rosthern, Town, Saskatchewan","4715032","Single",4
2020,"Rothesay, Town, New Brunswick","1305045","Apartment",1
2020,"Rothesay, Town, New Brunswick","1305045","Single",9
2020,"Rougemont, Municipalité, Quebec","2455037","Apartment",6
2020,"Rougemont, Municipalité, Quebec","2455037","Single",0
2020,"Rouyn-Noranda, Ville, Quebec","2486042","Apartment",102
2020,"Rouyn-Noranda, Ville, Quebec","2486042","Cottage",2
2020,"Rouyn-Noranda, Ville, Quebec","2486042","Duplex",4
2020,"Rouyn-Noranda, Ville, Quebec","2486042","Mobile",4
2020,"Rouyn-Noranda, Ville, Quebec","2486042","Single",62
2020,"Roxton Pond, Municipalité, Quebec","2447047","Apartment",5
2020,"Roxton Pond, Municipalité, Quebec","2447047","Duplex",51
2020,"Roxton Pond, Municipalité, Quebec","2447047","Single",23
2020,"Russell, Township, Ontario","3502048","Apartment",59
2020,"Russell, Township, Ontario","3502048","Duplex",51
2020,"Russell, Township, Ontario","3502048","Row",56
2020,"Russell, Township, Ontario","3502048","Single",197
2020,"Russell-Binscarth, Municipality, Manitoba","4616030","Single",4
2020,"Rycroft, Village, Alberta","4819056","Single",0
2020,"Ryley, Village, Alberta","4810019","Single",1
2020,"Saanich, District municipality, British Columbia","5917021","Apartment",158
2020,"Saanich, District municipality, British Columbia","5917021","Duplex",6
2020,"Saanich, District municipality, British Columbia","5917021","Row",5
2020,"Saanich, District municipality, British Columbia","5917021","Single",38
2020,"Sables-Spanish Rivers, Township, Ontario","3552023","Cottage",4
2020,"Sables-Spanish Rivers, Township, Ontario","3552023","Mobile",2
2020,"Sables-Spanish Rivers, Township, Ontario","3552023","Single",3
2020,"Sackville, Town, New Brunswick","1307009","Mobile",2
2020,"Sackville, Town, New Brunswick","1307009","Single",4
2020,"Sacré-Coeur, Municipalité, Quebec","2495010","Apartment",1
2020,"Sacré-Coeur, Municipalité, Quebec","2495010","Cottage",1
2020,"Sacré-Coeur, Municipalité, Quebec","2495010","Single",5
2020,"Saddle Hills County, Municipal district, Alberta","4819059","Single",2
2020,"Saguenay, Ville, Quebec","2494068","Apartment",230
2020,"Saguenay, Ville, Quebec","2494068","Cottage",11
2020,"Saguenay, Ville, Quebec","2494068","Duplex",4
2020,"Saguenay, Ville, Quebec","2494068","Mobile",2
2020,"Saguenay, Ville, Quebec","2494068","Single",229
2020,"Saint John, City, New Brunswick","1301006","Apartment",0
2020,"Saint John, City, New Brunswick","1301006","Cottage",0
2020,"Saint John, City, New Brunswick","1301006","Mobile",0
2020,"Saint John, City, New Brunswick","1301006","Row",0
2020,"Saint John, City, New Brunswick","1301006","Single",0
2020,"Saint Martins, Parish, New Brunswick","1301001","Cottage",0
2020,"Saint Martins, Parish, New Brunswick","1301001","Mobile",0
2020,"Saint Martins, Parish, New Brunswick","1301001","Single",0
2020,"Saint Mary, Parish, New Brunswick","1308006","Apartment",1
2020,"Saint Mary, Parish, New Brunswick","1308006","Mobile",1
2020,"Saint Mary, Parish, New Brunswick","1308006","Single",3
2020,"Saint Marys, Parish, New Brunswick","1310031","Mobile",4
2020,"Saint Marys, Parish, New Brunswick","1310031","Single",23
2020,"Saint-Adelphe, Paroisse (municipalité de), Quebec","2435015","Apartment",0
2020,"Saint-Adelphe, Paroisse (municipalité de), Quebec","2435015","Cottage",0
2020,"Saint-Adelphe, Paroisse (municipalité de), Quebec","2435015","Single",0
2020,"Saint-Adolphe-d'Howard, Municipalité, Quebec","2477065","Apartment",0
2020,"Saint-Adolphe-d'Howard, Municipalité, Quebec","2477065","Single",0
2020,"Saint-Adrien-d'Irlande, Municipalité, Quebec","2431095","Single",2
2020,"Saint-Agapit, Municipalité, Quebec","2433045","Apartment",0
2020,"Saint-Agapit, Municipalité, Quebec","2433045","Duplex",0
2020,"Saint-Agapit, Municipalité, Quebec","2433045","Single",0
2020,"Saint-Aimé, Municipalité, Quebec","2453015","Single",0
2020,"Saint-Aimé-du-Lac-des-Îles, Municipalité, Quebec","2479022","Single",0
2020,"Saint-Alexandre, Municipalité, Quebec","2456055","Duplex",2
2020,"Saint-Alexandre, Municipalité, Quebec","2456055","Single",10
2020,"Saint-Alexandre-de-Kamouraska, Municipalité, Quebec","2414035","Apartment",1
2020,"Saint-Alexandre-de-Kamouraska, Municipalité, Quebec","2414035","Cottage",1
2020,"Saint-Alexandre-de-Kamouraska, Municipalité, Quebec","2414035","Single",9
2020,"Saint-Alexis-des-Monts, Paroisse (municipalité de), Quebec","2451065","Apartment",12
2020,"Saint-Alexis-des-Monts, Paroisse (municipalité de), Quebec","2451065","Cottage",10
2020,"Saint-Alexis-des-Monts, Paroisse (municipalité de), Quebec","2451065","Mobile",3
2020,"Saint-Alexis-des-Monts, Paroisse (municipalité de), Quebec","2451065","Single",20
