"ref_date","geo","dguid","work_type","building_type","total"
2018,"Alberta Beach, Village, Alberta","48","New construction","Apartment",103400
2018,"Alberta Beach, Village, Alberta","48","New construction","Single",773900
2018,"Alberton, Town, Prince Edward Island","1103052","New construction","Apartment",365200
2018,"Alberton, Town, Prince Edward Island","1103052","New construction","Mobile",127600
2018,"Alfred and Plantagenet, Township, Ontario","3502023","New construction","Cottage",0
2018,"Alfred and Plantagenet, Township, Ontario","3502023","New construction","Duplex",0
2018,"Alfred and Plantagenet, Township, Ontario","3502023","New construction","Single",0
2018,"Algonquin Highlands, Township, Ontario","3546018","New construction","Cottage",2810900
2018,"Algonquin Highlands, Township, Ontario","3546018","New construction","Single",9394300
2018,"Alix, Village, Alberta","4808034","New construction","Single",130800
2018,"Allan, Town, Saskatchewan","4711072","New construction","Single",191400
2018,"Alma, Ville, Quebec","2493042","New construction","Apartment",3177800
2018,"Alma, Ville, Quebec","2493042","New construction","Cottage",46000
2018,"Alma, Ville, Quebec","2493042","New construction","Duplex",3786000
2018,"Alma, Ville, Quebec","2493042","New construction","Single",12235600
2018,"Alnwick/Haldimand, Township, Ontario","3514024","New construction","Cottage",157500
2018,"Alnwick/Haldimand, Township, Ontario","3514024","New construction","Single",14065300
2018,"Alonsa, Rural municipality, Manitoba","4617026","New construction","Cottage",152500
2018,"Alonsa, Rural municipality, Manitoba","4617026","New construction","Mobile",286700
2018,"Alonsa, Rural municipality, Manitoba","4617026","New construction","Single",157500
2018,"Altona, Town, Manitoba","4603040","New construction","Duplex",648700
2018,"Altona, Town, Manitoba","4603040","New construction","Row",950000
2018,"Altona, Town, Manitoba","4603040","New construction","Single",1210000
2018,"Amaranth, Township, Ontario","3522008","New construction","Single",8700100
2018,"Amherst, Canton (municipalité de), Quebec","2478070","New construction","Apartment",30300
2018,"Amherst, Canton (municipalité de), Quebec","2478070","New construction","Single",2004900
2018,"Amherst, Town, Nova Scotia","1211011","New construction","Apartment",1363900
2018,"Amherst, Town, Nova Scotia","1211011","New construction","Mobile",300600
2018,"Amherst, Town, Nova Scotia","1211011","New construction","Row",322800
2018,"Amherst, Town, Nova Scotia","1211011","New construction","Single",890800
2018,"Amherstburg, Town, Ontario","3537028","New construction","Apartment",0
2018,"Amherstburg, Town, Ontario","3537028","New construction","Duplex",0
2018,"Amherstburg, Town, Ontario","3537028","New construction","Row",0
2018,"Amherstburg, Town, Ontario","3537028","New construction","Single",0
2018,"Amos, Ville, Quebec","2488055","New construction","Apartment",1344700
2018,"Amos, Ville, Quebec","2488055","New construction","Mobile",9500
2018,"Amos, Ville, Quebec","2488055","New construction","Single",5507500
2018,"Amqui, Ville, Quebec","2407047","New construction","Apartment",280600
2018,"Amqui, Ville, Quebec","2407047","New construction","Single",271100
2018,"Anmore, Village, British Columbia","5915038","New construction","Apartment",51800
2018,"Anmore, Village, British Columbia","5915038","New construction","Row",19200
2018,"Anmore, Village, British Columbia","5915038","New construction","Single",10754300
2018,"Annapolis, Subd. D, Subdivision of county municipality, Nova Scotia","1205001","New construction","Apartment",8200
2018,"Annapolis, Subd. D, Subdivision of county municipality, Nova Scotia","1205001","New construction","Cottage",183100
2018,"Annapolis, Subd. D, Subdivision of county municipality, Nova Scotia","1205001","New construction","Mobile",294300
2018,"Annapolis, Subd. D, Subdivision of county municipality, Nova Scotia","1205001","New construction","Single",5630700
2018,"Antigonish, Subd. A, Subdivision of county municipality, Nova Scotia","1214001","New construction","Apartment",2710200
2018,"Antigonish, Subd. A, Subdivision of county municipality, Nova Scotia","1214001","New construction","Cottage",204400
2018,"Antigonish, Subd. A, Subdivision of county municipality, Nova Scotia","1214001","New construction","Duplex",1021200
2018,"Antigonish, Subd. A, Subdivision of county municipality, Nova Scotia","1214001","New construction","Mobile",5099700
2018,"Antigonish, Subd. A, Subdivision of county municipality, Nova Scotia","1214001","New construction","Single",13241600
2018,"Antigonish, Town, Nova Scotia","1214002","New construction","Apartment",183600
2018,"Antigonish, Town, Nova Scotia","1214002","New construction","Mobile",970500
2018,"Antigonish, Town, Nova Scotia","1214002","New construction","Single",1839500
2018,"Appleton, Town, Newfoundland and Labrador","1006011","New construction","Single",967100
2018,"Argyle, Municipal district, Nova Scotia","1202001","New construction","Apartment",107100
2018,"Argyle, Municipal district, Nova Scotia","1202001","New construction","Cottage",60500
2018,"Argyle, Municipal district, Nova Scotia","1202001","New construction","Single",1909000
2018,"Armour, Township, Ontario","3549019","New construction","Cottage",288300
2018,"Armour, Township, Ontario","3549019","New construction","Single",3284200
2018,"Armstrong, City, British Columbia","5937028","New construction","Apartment",1163700
2018,"Armstrong, City, British Columbia","5937028","New construction","Duplex",820000
2018,"Armstrong, City, British Columbia","5937028","New construction","Mobile",21800
2018,"Armstrong, City, British Columbia","5937028","New construction","Row",345200
2018,"Armstrong, City, British Columbia","5937028","New construction","Single",9656600
2018,"Armstrong, Rural municipality, Manitoba","4618037","New construction","Cottage",55500
2018,"Armstrong, Rural municipality, Manitoba","4618037","New construction","Mobile",433800
2018,"Armstrong, Rural municipality, Manitoba","4618037","New construction","Single",921400
2018,"Arnold's Cove, Town, Newfoundland and Labrador","1001270","New construction","Single",0
2018,"Arnprior, Town, Ontario","3547002","New construction","Apartment",269200
2018,"Arnprior, Town, Ontario","3547002","New construction","Duplex",1836200
2018,"Arnprior, Town, Ontario","3547002","New construction","Row",8191200
2018,"Arnprior, Town, Ontario","3547002","New construction","Single",2627500
2018,"Arran-Elderslie, Municipality, Ontario","3541043","New construction","Cottage",293900
2018,"Arran-Elderslie, Municipality, Ontario","3541043","New construction","Row",747600
2018,"Arran-Elderslie, Municipality, Ontario","3541043","New construction","Single",3360900
2018,"Arundel, Canton (municipalité de), Quebec","2478060","New construction","Apartment",0
2018,"Arundel, Canton (municipalité de), Quebec","2478060","New construction","Single",0
2018,"Ascot Corner, Municipalité, Quebec","2441055","New construction","Apartment",792300
2018,"Ascot Corner, Municipalité, Quebec","2441055","New construction","Duplex",419900
2018,"Ascot Corner, Municipalité, Quebec","2441055","New construction","Single",5093600
2018,"Ashfield-Colborne-Wawanosh, Township, Ontario","3540063","New construction","Cottage",499100
2018,"Ashfield-Colborne-Wawanosh, Township, Ontario","3540063","New construction","Single",14419200
2018,"Asphodel-Norwood, Township, Ontario","3515003","New construction","Cottage",156000
2018,"Asphodel-Norwood, Township, Ontario","3515003","New construction","Duplex",2200
2018,"Asphodel-Norwood, Township, Ontario","3515003","New construction","Single",9320500
2018,"Asquith, Town, Saskatchewan","4712059","New construction","Single",941200
2018,"Aston-Jonction, Municipalité, Quebec","2450013","New construction","Single",335800
2018,"Athabasca County, Municipal district, Alberta","4813044","New construction","Cottage",54500
2018,"Athabasca County, Municipal district, Alberta","4813044","New construction","Mobile",1127600
2018,"Athabasca County, Municipal district, Alberta","4813044","New construction","Single",11690600
2018,"Athens, Township, Ontario","3507042","New construction","Cottage",404200
2018,"Athens, Township, Ontario","3507042","New construction","Single",1922900
2018,"Atholville, Village, New Brunswick","1314013","New construction","Apartment",248200
2018,"Atholville, Village, New Brunswick","1314013","New construction","Single",214400
2018,"Atikokan, Town, Ontario","3559001","New construction","Single",30300
2018,"Augusta, Township, Ontario","3507006","New construction","Single",2005500
2018,"Aurora, Town, Ontario","3519046","New construction","Apartment",44003200
2018,"Aurora, Town, Ontario","3519046","New construction","Duplex",1067100
2018,"Aurora, Town, Ontario","3519046","New construction","Row",17575000
2018,"Aurora, Town, Ontario","3519046","New construction","Single",126196500
2018,"Austin, Municipalité, Quebec","2445085","New construction","Single",12572700
2018,"Avondale, Town, Newfoundland and Labrador","1001464","New construction","Apartment",0
2018,"Avondale, Town, Newfoundland and Labrador","1001464","New construction","Single",0
2018,"Ayer's Cliff, Village, Quebec","2445035","New construction","Single",1132000
2018,"Aylmer, Town, Ontario","3534011","New construction","Apartment",13625800
2018,"Aylmer, Town, Ontario","3534011","New construction","Duplex",315000
2018,"Aylmer, Town, Ontario","3534011","New construction","Single",1986000
2018,"Badger, Town, Newfoundland and Labrador","1006026","New construction","Single",0
2018,"Baie Verte, Town, Newfoundland and Labrador","1008079","New construction","Single",368600
2018,"Baie-Comeau, Ville, Quebec","2496020","New construction","Apartment",453800
2018,"Baie-Comeau, Ville, Quebec","2496020","New construction","Single",115500
2018,"Baie-D'Urfé, Ville, Quebec","2466112","New construction","Single",0
2018,"Baie-Saint-Paul, Ville, Quebec","2416013","New construction","Cottage",0
2018,"Baie-Saint-Paul, Ville, Quebec","2416013","New construction","Single",0
2018,"Baie-du-Febvre, Municipalité, Quebec","2450100","New construction","Mobile",0
2018,"Baie-du-Febvre, Municipalité, Quebec","2450100","New construction","Single",0
2018,"Balgonie, Town, Saskatchewan","4706032","New construction","Mobile",0
2018,"Balgonie, Town, Saskatchewan","4706032","New construction","Single",0
2018,"Bancroft, Town, Ontario","3512061","New construction","Apartment",2900
2018,"Bancroft, Town, Ontario","3512061","New construction","Cottage",51000
2018,"Bancroft, Town, Ontario","3512061","New construction","Duplex",309500
2018,"Bancroft, Town, Ontario","3512061","New construction","Single",437500
2018,"Banff, Town, Alberta","4815035","New construction","Apartment",31500
2018,"Banff, Town, Alberta","4815035","New construction","Single",44700
2018,"Barnston-Ouest, Municipalité, Quebec","2444045","New construction","Single",0
2018,"Barons, Village, Alberta","4802016","New construction","Single",256000
2018,"Barraute, Municipalité, Quebec","2488022","New construction","Mobile",110200
2018,"Barraute, Municipalité, Quebec","2488022","New construction","Single",790900
2018,"Barrhead County No. 11, Municipal district, Alberta","4813018","New construction","Mobile",49800
2018,"Barrhead County No. 11, Municipal district, Alberta","4813018","New construction","Single",6700900
2018,"Barrhead, Town, Alberta","4813019","New construction","Apartment",55900
2018,"Barrhead, Town, Alberta","4813019","New construction","Row",1410400
2018,"Barrhead, Town, Alberta","4813019","New construction","Single",1804100
2018,"Barrie, City, Ontario","3543042","New construction","Apartment",82771100
2018,"Barrie, City, Ontario","3543042","New construction","Duplex",2068700
2018,"Barrie, City, Ontario","3543042","New construction","Row",26270100
2018,"Barrie, City, Ontario","3543042","New construction","Single",25493200
2018,"Barriere, District municipality, British Columbia","5933074","New construction","Mobile",9400
2018,"Barriere, District municipality, British Columbia","5933074","New construction","Single",1511800
2018,"Barrington, Municipal district, Nova Scotia","1201001","New construction","Apartment",903800
2018,"Barrington, Municipal district, Nova Scotia","1201001","New construction","Mobile",765000
2018,"Barrington, Municipal district, Nova Scotia","1201001","New construction","Single",2770700
2018,"Bathurst, City, New Brunswick","1315011","New construction","Apartment",1477700
2018,"Bathurst, City, New Brunswick","1315011","New construction","Duplex",56400
2018,"Bathurst, City, New Brunswick","1315011","New construction","Single",1259400
2018,"Bathurst, Parish, New Brunswick","1315008","New construction","Apartment",1742400
2018,"Bathurst, Parish, New Brunswick","1315008","New construction","Cottage",331000
2018,"Bathurst, Parish, New Brunswick","1315008","New construction","Duplex",53600
2018,"Bathurst, Parish, New Brunswick","1315008","New construction","Mobile",675500
2018,"Bathurst, Parish, New Brunswick","1315008","New construction","Single",5276900
2018,"Battle River No. 438, Rural municipality, Saskatchewan","4712078","New construction","Mobile",571600
2018,"Battle River No. 438, Rural municipality, Saskatchewan","4712078","New construction","Single",778100
2018,"Battleford, Town, Saskatchewan","4712079","New construction","Duplex",1583200
2018,"Battleford, Town, Saskatchewan","4712079","New construction","Single",1190500
2018,"Bauline, Town, Newfoundland and Labrador","1001512","New construction","Duplex",98000
2018,"Bauline, Town, Newfoundland and Labrador","1001512","New construction","Single",34600
2018,"Bay Bulls, Town, Newfoundland and Labrador","1001557","New construction","Single",1360900
2018,"Bay Roberts, Town, Newfoundland and Labrador","1001409","New construction","Single",0
2018,"Bayham, Municipality, Ontario","3534005","New construction","Duplex",273000
2018,"Bayham, Municipality, Ontario","3534005","New construction","Mobile",142900
2018,"Bayham, Municipality, Ontario","3534005","New construction","Single",7689500
2018,"Beaconsfield, Ville, Quebec","2466107","New construction","Apartment",0
2018,"Beaconsfield, Ville, Quebec","2466107","New construction","Duplex",0
2018,"Beaconsfield, Ville, Quebec","2466107","New construction","Row",0
2018,"Beaconsfield, Ville, Quebec","2466107","New construction","Single",0
2018,"Beauceville, Ville, Quebec","2427028","New construction","Apartment",1823300
2018,"Beauceville, Ville, Quebec","2427028","New construction","Duplex",752300
2018,"Beauceville, Ville, Quebec","2427028","New construction","Single",2124400
2018,"Beauharnois, Ville, Quebec","2470022","New construction","Apartment",10610200
2018,"Beauharnois, Ville, Quebec","2470022","New construction","Duplex",61200
2018,"Beauharnois, Ville, Quebec","2470022","New construction","Single",3299700
2018,"Beaumont, City, Alberta","4811013","New construction","Apartment",1885700
2018,"Beaumont, City, Alberta","4811013","New construction","Duplex",11026700
2018,"Beaumont, City, Alberta","4811013","New construction","Row",3644500
2018,"Beaumont, City, Alberta","4811013","New construction","Single",46919700
2018,"Beaumont, Municipalité, Quebec","2419105","New construction","Apartment",32300
2018,"Beaumont, Municipalité, Quebec","2419105","New construction","Duplex",81400
2018,"Beaumont, Municipalité, Quebec","2419105","New construction","Single",5460000
2018,"Beaupré, Ville, Quebec","2421025","New construction","Single",0
2018,"Beaver County, Municipal district, Alberta","4810016","New construction","Mobile",35800
2018,"Beaver County, Municipal district, Alberta","4810016","New construction","Row",458700
2018,"Beaver County, Municipal district, Alberta","4810016","New construction","Single",8919700
2018,"Beaver River No. 622, Rural municipality, Saskatchewan","4717062","New construction","Cottage",0
2018,"Beaver River No. 622, Rural municipality, Saskatchewan","4717062","New construction","Mobile",0
2018,"Beaver River No. 622, Rural municipality, Saskatchewan","4717062","New construction","Single",0
2018,"Beaverlodge, Town, Alberta","4819009","New construction","Single",0
2018,"Beckwith, Township, Ontario","3509024","New construction","Cottage",105000
2018,"Beckwith, Township, Ontario","3509024","New construction","Single",10825700
2018,"Bedford, Canton (municipalité de), Quebec","2446040","New construction","Single",0
2018,"Bedford, Ville, Quebec","2446035","New construction","Apartment",27700
2018,"Bedford, Ville, Quebec","2446035","New construction","Single",449800
2018,"Behchokò, Community government, Northwest Territories","6103031","New construction","Apartment",1338300
2018,"Behchokò, Community government, Northwest Territories","6103031","New construction","Mobile",63200
2018,"Behchokò, Community government, Northwest Territories","6103031","New construction","Single",983300
2018,"Belcarra, Village, British Columbia","5915036","New construction","Single",991400
2018,"Belleville, City, Ontario","3512005","New construction","Apartment",22034100
2018,"Belleville, City, Ontario","3512005","New construction","Duplex",1575800
2018,"Belleville, City, Ontario","3512005","New construction","Row",8940000
2018,"Belleville, City, Ontario","3512005","New construction","Single",37617400
2018,"Beloeil, Ville, Quebec","2457040","New construction","Apartment",84416700
2018,"Beloeil, Ville, Quebec","2457040","New construction","Duplex",1970800
2018,"Beloeil, Ville, Quebec","2457040","New construction","Row",2337000
2018,"Beloeil, Ville, Quebec","2457040","New construction","Single",19633300
2018,"Berthierville, Ville, Quebec","2452035","New construction","Apartment",4521100
2018,"Berthierville, Ville, Quebec","2452035","New construction","Single",678800
2018,"Berwick, Town, Nova Scotia","1207004","New construction","Apartment",384300
2018,"Berwick, Town, Nova Scotia","1207004","New construction","Duplex",464400
2018,"Berwick, Town, Nova Scotia","1207004","New construction","Mobile",270000
2018,"Berwick, Town, Nova Scotia","1207004","New construction","Single",942800
2018,"Betula Beach, Summer village, Alberta","4811039","New construction","Single",945900
2018,"Bienfait, Town, Saskatchewan","4701021","New construction","Single",13700
2018,"Bifrost-Riverton, Municipality, Manitoba","4618076","New construction","Mobile",154200
2018,"Bifrost-Riverton, Municipality, Manitoba","4618076","New construction","Single",909300
2018,"Big Lakes County, Municipal district, Alberta","4817027","New construction","Cottage",2423400
2018,"Big Lakes County, Municipal district, Alberta","4817027","New construction","Mobile",149300
2018,"Big Lakes County, Municipal district, Alberta","4817027","New construction","Row",244000
2018,"Big Lakes County, Municipal district, Alberta","4817027","New construction","Single",7057000
2018,"Big River, Town, Saskatchewan","4716072","New construction","Cottage",122200
2018,"Big River, Town, Saskatchewan","4716072","New construction","Single",219900
2018,"Biggar, Town, Saskatchewan","4712046","New construction","Single",1197500
2018,"Bighorn No. 8, Municipal district, Alberta","4815015","New construction","Apartment",15500
2018,"Bighorn No. 8, Municipal district, Alberta","4815015","New construction","Row",254900
2018,"Bighorn No. 8, Municipal district, Alberta","4815015","New construction","Single",7112700
2018,"Birch Hills County, Municipal district, Alberta","4819049","New construction","Apartment",1476000
2018,"Birch Hills County, Municipal district, Alberta","4819049","New construction","Mobile",297600
2018,"Birch Hills County, Municipal district, Alberta","4819049","New construction","Single",324600
2018,"Birchy Bay, Town, Newfoundland and Labrador","1008038","New construction","Single",267700
2018,"Bjorkdale No. 426, Rural municipality, Saskatchewan","4714038","New construction","Cottage",0
2018,"Bjorkdale No. 426, Rural municipality, Saskatchewan","4714038","New construction","Single",0
2018,"Black Diamond, Town, Alberta","4806011","New construction","Single",3315600
2018,"Black River-Matheson, Township, Ontario","3556014","New construction","Cottage",0
2018,"Black River-Matheson, Township, Ontario","3556014","New construction","Single",0
2018,"Blackfalds, Town, Alberta","4808029","New construction","Apartment",651000
2018,"Blackfalds, Town, Alberta","4808029","New construction","Duplex",1479100
2018,"Blackfalds, Town, Alberta","4808029","New construction","Mobile",479100
2018,"Blackfalds, Town, Alberta","4808029","New construction","Row",5296200
2018,"Blackfalds, Town, Alberta","4808029","New construction","Single",10277000
2018,"Blacks Harbour, Village, New Brunswick","1302012","New construction","Single",153400
2018,"Blainville, Ville, Quebec","2473015","New construction","Apartment",61352500
2018,"Blainville, Ville, Quebec","2473015","New construction","Duplex",155400
2018,"Blainville, Ville, Quebec","2473015","New construction","Row",4399400
2018,"Blainville, Ville, Quebec","2473015","New construction","Single",41327800
2018,"Blandford-Blenheim, Township, Ontario","3532045","New construction","Mobile",377300
2018,"Blandford-Blenheim, Township, Ontario","3532045","New construction","Row",643500
2018,"Blandford-Blenheim, Township, Ontario","3532045","New construction","Single",6968800
2018,"Blind River, Town, Ontario","3557038","New construction","Cottage",0
2018,"Blind River, Town, Ontario","3557038","New construction","Single",0
2018,"Blissville, Parish, New Brunswick","1303001","New construction","Apartment",289600
2018,"Blissville, Parish, New Brunswick","1303001","New construction","Cottage",583600
2018,"Blissville, Parish, New Brunswick","1303001","New construction","Duplex",233500
2018,"Blissville, Parish, New Brunswick","1303001","New construction","Mobile",1293300
2018,"Blissville, Parish, New Brunswick","1303001","New construction","Single",19445800
2018,"Blucher No. 343, Rural municipality, Saskatchewan","4711069","New construction","Mobile",13900
2018,"Blucher No. 343, Rural municipality, Saskatchewan","4711069","New construction","Single",5943700
2018,"Bluewater, Municipality, Ontario","3540010","New construction","Apartment",1343300
2018,"Bluewater, Municipality, Ontario","3540010","New construction","Mobile",834500
2018,"Bluewater, Municipality, Ontario","3540010","New construction","Single",14877400
2018,"Bois-des-Filion, Ville, Quebec","2473030","New construction","Apartment",11156100
2018,"Bois-des-Filion, Ville, Quebec","2473030","New construction","Duplex",1492100
2018,"Bois-des-Filion, Ville, Quebec","2473030","New construction","Single",3046500
2018,"Boisbriand, Ville, Quebec","2473005","New construction","Apartment",0
2018,"Boisbriand, Ville, Quebec","2473005","New construction","Duplex",0
2018,"Boisbriand, Ville, Quebec","2473005","New construction","Row",0
2018,"Boisbriand, Ville, Quebec","2473005","New construction","Single",0
2018,"Boischatel, Municipalité, Quebec","2421045","New construction","Duplex",217700
2018,"Boischatel, Municipalité, Quebec","2421045","New construction","Single",14394800
2018,"Boissevain-Morton, Municipality, Manitoba","4605032","New construction","Single",0
2018,"Bon Accord, Town, Alberta","4811066","New construction","Single",956500
2018,"Bonaventure, Ville, Quebec","2405045","New construction","Apartment",1398700
2018,"Bonaventure, Ville, Quebec","2405045","New construction","Cottage",96800
2018,"Bonaventure, Ville, Quebec","2405045","New construction","Single",23700
2018,"Bonavista, Town, Newfoundland and Labrador","1007023","New construction","Single",1440200
2018,"Bonfield, Township, Ontario","3548027","New construction","Single",2880300
2018,"Bonnechere Valley, Township, Ontario","3547035","New construction","Apartment",84200
2018,"Bonnechere Valley, Township, Ontario","3547035","New construction","Cottage",650400
2018,"Bonnechere Valley, Township, Ontario","3547035","New construction","Duplex",525000
2018,"Bonnechere Valley, Township, Ontario","3547035","New construction","Single",5558500
2018,"Bonnyville No. 87, Municipal district, Alberta","4812004","New construction","Mobile",3657700
2018,"Bonnyville No. 87, Municipal district, Alberta","4812004","New construction","Row",978600
2018,"Bonnyville No. 87, Municipal district, Alberta","4812004","New construction","Single",14866200
2018,"Bonnyville, Town, Alberta","4812009","New construction","Apartment",9682800
2018,"Bonnyville, Town, Alberta","4812009","New construction","Duplex",263300
2018,"Bonnyville, Town, Alberta","4812009","New construction","Mobile",117300
2018,"Bonnyville, Town, Alberta","4812009","New construction","Single",1257300
2018,"Borden-Carleton, Town, Prince Edward Island","1103005","New construction","Cottage",0
2018,"Borden-Carleton, Town, Prince Edward Island","1103005","New construction","Single",0
2018,"Botwood, Town, Newfoundland and Labrador","1006022","New construction","Single",0
2018,"Boucherville, Ville, Quebec","2458033","New construction","Apartment",30341200
2018,"Boucherville, Ville, Quebec","2458033","New construction","Duplex",14977500
2018,"Boucherville, Ville, Quebec","2458033","New construction","Single",3897400
2018,"Bouchette, Municipalité, Quebec","2483050","New construction","Cottage",711000
2018,"Bouchette, Municipalité, Quebec","2483050","New construction","Single",510500
2018,"Bouctouche, Town, New Brunswick","1308005","New construction","Row",374700
2018,"Bouctouche, Town, New Brunswick","1308005","New construction","Single",877100
2018,"Bow Island, Town, Alberta","4801014","New construction","Apartment",1112000
2018,"Bow Island, Town, Alberta","4801014","New construction","Single",903700
2018,"Bowen Island, Island municipality, British Columbia","5915062","New construction","Apartment",3483600
2018,"Bowen Island, Island municipality, British Columbia","5915062","New construction","Duplex",298100
2018,"Bowen Island, Island municipality, British Columbia","5915062","New construction","Single",13041400
2018,"Bowman, Municipalité, Quebec","2480145","New construction","Single",335900
2018,"Boyle, Village, Alberta","4813046","New construction","Apartment",32400
2018,"Bracebridge, Town, Ontario","3544018","New construction","Apartment",8464400
2018,"Bracebridge, Town, Ontario","3544018","New construction","Cottage",2168700
2018,"Bracebridge, Town, Ontario","3544018","New construction","Mobile",3711900
2018,"Bracebridge, Town, Ontario","3544018","New construction","Row",1477400
2018,"Bracebridge, Town, Ontario","3544018","New construction","Single",31025500
2018,"Bradford West Gwillimbury, Town, Ontario","3543014","New construction","Duplex",2629400
2018,"Bradford West Gwillimbury, Town, Ontario","3543014","New construction","Mobile",102300
2018,"Bradford West Gwillimbury, Town, Ontario","3543014","New construction","Row",96800
2018,"Bradford West Gwillimbury, Town, Ontario","3543014","New construction","Single",74178800
2018,"Brampton, City, Ontario","3521010","New construction","Apartment",45667700
2018,"Brampton, City, Ontario","3521010","New construction","Duplex",46795500
2018,"Brampton, City, Ontario","3521010","New construction","Row",98213600
2018,"Brampton, City, Ontario","3521010","New construction","Single",487666400
2018,"Brandon, City, Manitoba","4607062","New construction","Apartment",17406800
2018,"Brandon, City, Manitoba","4607062","New construction","Duplex",1736800
2018,"Brandon, City, Manitoba","4607062","New construction","Mobile",976300
2018,"Brandon, City, Manitoba","4607062","New construction","Row",10437800
2018,"Brandon, City, Manitoba","4607062","New construction","Single",20272200
2018,"Brant, City, Ontario","3529005","New construction","Apartment",1019400
2018,"Brant, City, Ontario","3529005","New construction","Cottage",21800
2018,"Brant, City, Ontario","3529005","New construction","Duplex",2796400
2018,"Brant, City, Ontario","3529005","New construction","Row",22858000
2018,"Brant, City, Ontario","3529005","New construction","Single",110981900
2018,"Brantford, City, Ontario","3529006","New construction","Apartment",6627000
2018,"Brantford, City, Ontario","3529006","New construction","Duplex",510600
2018,"Brantford, City, Ontario","3529006","New construction","Row",23481300
2018,"Brantford, City, Ontario","3529006","New construction","Single",33050700
2018,"Brazeau County, Municipal district, Alberta","4811032","New construction","Apartment",155000
2018,"Brazeau County, Municipal district, Alberta","4811032","New construction","Mobile",13400
2018,"Brazeau County, Municipal district, Alberta","4811032","New construction","Single",4278500
2018,"Bridgewater, Town, Nova Scotia","1206004","New construction","Apartment",665300
2018,"Bridgewater, Town, Nova Scotia","1206004","New construction","Duplex",346600
2018,"Bridgewater, Town, Nova Scotia","1206004","New construction","Mobile",99200
2018,"Bridgewater, Town, Nova Scotia","1206004","New construction","Single",1128700
